AEA - A,% Air - A,Slump - A,WCM - A,WRA - A,CTE 28 Day,MoR 7 Day,MoR 14 Day,MoR 28 Day,MoR 90 Day
26.5,4.8,2.25,0.4,10,8.60E-06,611,757,781,939
18,3.6,2,0.39,0,9.58E-06,649,738,756,877
23,5.3,2.75,0.38,0,9.36E-06,613,659,668,803
21,4.6,2.75,0.38,0,9.78E-06,614,675,770,880
22.5,5.2,3,0.38,0,9.67E-06,657,683,805,872
30,6.6,2.25,0.4,10,8.58E-06,591,655,690,929
21,4.2,2.25,0.39,0,9.50E-06,630,671,716,847
14,6,3,0.39,0,9.59E-06,611,730,736,747
20,4.4,1.75,0.39,0,9.60E-06,544,608,713,785
13.5,6.4,3,0.4,0,9.77E-06,563,691,666,884
23,5.8,1.25,0.4,10,8.87E-06,718,797,918,979
12,4.6,1.25,0.4,20,9.75E-06,587,633,726,857
15,6.6,3,0.4,0,9.36E-06,569,617,713,761
12,4.8,2.25,0.39,0,1.00E-05,630,662,774,895
12.5,5,3,0.39,0,9.47E-06,638,734,756,814
23,6.6,2.25,0.4,10,8.67E-06,687,745,782,840
10,4.7,2.25,0.4,25,9.51E-06,641,663,816,903
17,5.6,3,0.34,0,9.49E-06,594,650,682,823
17,5.5,3,0.33,0,9.67E-06,636,689,689,727
16,4.7,3,0.34,0,9.68E-06,664,691,763,901
20,5.6,2.25,0.37,0,8.63E-06,543,621,623,732
11,5.6,2.75,0.37,0,9.63E-06,585,618,756,775
21,5.4,2.25,0.35,0,9.33E-06,508,575,666,795
20,4.4,1.75,0.34,0,9.88E-06,715,667,754,967
19.5,4.5,1.75,0.34,0,9.88E-06,651,710,756,911
24,5.8,2.25,0.38,0,8.53E-06,636,596,721,814
21,4.7,1.25,0.37,0,9.61E-06,618,677,725,849
23,5.6,3,0.34,0,9.28E-06,582,639,712,731
21,5.9,3,0.35,0,9.86E-06,595,661,664,788
20,4.5,2.25,0.34,0,9.58E-06,698,716,787,897
25,5.8,3,0.38,0,8.74E-06,602,685,775,782
21,5.4,2.25,0.37,0,9.65E-06,625,706,768,860
