Mix Number,MoR 7 Day,MoR 14 Day,MoR 28 Day,MoR 90 Day,CTE 28 Day,Mix Proportion,Cement,SCM,Fine Aggregate,Coarse Aggregate,AEA - A,% Air - A,Slump - A,WCM - A,WRA - A
95,641,663,816,903,9.51e-06,1.0,1.0,2.0,1.0,8.0,10.0,4.7,2.25,0.4,25.0
96,594,650,682,823,9.49e-06,2.0,1.0,3.0,1.0,0.0,17.0,5.6,3.0,0.34,0.0
97,636,689,689,727,9.67e-06,2.0,1.0,3.0,1.0,1.0,17.0,5.5,3.0,0.33,0.0
98,664,691,763,901,9.68e-06,2.0,1.0,3.0,1.0,6.0,16.0,4.7,3.0,0.34,0.0
99,543,621,623,732,8.63e-06,2.0,1.0,3.0,1.0,7.0,20.0,5.6,2.25,0.37,0.0
100,585,618,756,775,9.63e-06,2.0,1.0,3.0,1.0,8.0,11.0,5.6,2.75,0.37,0.0
101,508,575,666,795,9.33e-06,2.0,1.0,4.0,1.0,0.0,21.0,5.4,2.25,0.35,0.0
102,715,667,754,967,9.88e-06,2.0,1.0,4.0,1.0,1.0,20.0,4.4,1.75,0.34,0.0
103,651,710,756,911,9.88e-06,2.0,1.0,4.0,1.0,6.0,19.5,4.5,1.75,0.34,0.0
104,636,596,721,814,8.53e-06,2.0,1.0,4.0,1.0,7.0,24.0,5.8,2.25,0.38,0.0
105,618,677,725,849,9.61e-06,2.0,1.0,4.0,1.0,8.0,21.0,4.7,1.25,0.37,0.0
106,582,639,712,731,9.28e-06,2.0,1.0,5.0,1.0,0.0,23.0,5.6,3.0,0.34,0.0
107,595,661,664,788,9.86e-06,2.0,1.0,5.0,1.0,1.0,21.0,5.9,3.0,0.35,0.0
108,698,716,787,897,9.58e-06,2.0,1.0,5.0,1.0,6.0,20.0,4.5,2.25,0.34,0.0
109,602,685,775,782,8.74e-06,2.0,1.0,5.0,1.0,7.0,25.0,5.8,3.0,0.38,0.0
110,625,706,768,860,9.65e-06,2.0,1.0,5.0,1.0,8.0,21.0,5.4,2.25,0.37,0.0
