Mix Number,CS 7 Day,CS 14 Day,CS 28 Day,CS 90 Day,MoR 7 Day,MoR 14 Day,MoR 28 Day,MoR 90 Day,MoE 7 Day,MoE 14 Day,MoE 28 Day,MoE 90 Day,PR 7 Day,PR 14 Day,PR 28 Day,PR 90 Day,STS 7 Day,STS 14 Day,STS 28 Day,STS 90 Day,DM 7 Day,DM 14 Day,DM 28 Day,DM 90 Day,CTE 28 Day
62,4155,4900,5486,6660,627,656,827,838,4080500,3929167,4111333,4603333,0.21,0.2,0.19,0.2,367,436,507,544,,,,6030706,9.71E-06
63,4312,5116,5557,6786,690,795,810,884,3745000,3834667,4076667,5014833,0.2,0.21,0.2,0.21,420,428,480,548,,5495620,5893704,6400541,9.78E-06
64,3545,4151,4515,5346,666,765,891,897,4261667,4603167,4921000,5289500,0.18,0.19,0.16,0.17,394,453,475,531,5532917,5820099,6053339,6396708,9.13E-06
65,4664,5319,6325,7763,590,695,784,833,3250167,3679167,3818667,4724833,0.2,0.21,0.22,0.22,415,454,515,667,4198283,4489998,4933890,5518648,9.47E-06
66,4334,5010,5746,6858,661,707,808,822,4195333,4372500,4704667,5051833,0.18,0.19,0.17,0.19,412,465,466,551,4958278,5288500,5631221,5958212,9.44E-06
67,4249,5007,5579,6713,742,799,812,1009,3194667,3719500,4430167,4794667,0.15,0.18,0.21,0.21,418,420,481,527,,,,6090028,9.69E-06
68,4526,5398,6055,6985,674,757,825,948,3817167,4055833,4263167,5022167,0.21,0.2,0.21,0.22,430,457,458,590,,5315191,5640890,6052670,9.72E-06
69,3966,4610,5217,6064,780,822,834,916,4286667,4871000,4970833,4982167,0.19,0.2,0.19,0.18,425,502,499,533,5686167,5828229,5962884,6057604,9.06E-06
70,5165,6042,6361,7682,666,696,814,969,3292333,3633167,3942833,4882000,0.19,0.21,0.22,0.22,395,526,540,670,4134700,4771680,5045002,5724125,9.48E-06
71,3655,4321,5040,5821,664,731,789,839,3478000,3891667,4220667,4683167,0.16,0.18,0.18,0.18,414,454,471,522,4675469,5069599,5318186,5832618,9.50E-06
72,3369,4169,4597,5035,604,700,696,850,3499667,3528833,3641000,3831833,0.21,0.2,0.19,0.18,354,385,452,513,,,,5612979,1.01E-05
73,3650,4351,5072,5229,687,815,826,957,3268167,3614833,3887000,4789000,0.19,0.19,0.19,0.19,359,446,495,523,,,,6042652,9.57E-06
74,4189,5239,5651,6656,698,794,805,926,4608667,4817833,4949333,5483500,0.19,0.19,0.19,0.19,497,498,514,584,5341728,5742232,6094109,6180721,8.62E-06
75,4149,5326,5966,6522,640,692,766,882,3143000,3351167,3680667,4050833,0.19,0.19,0.2,0.21,414,476,484,561,3978787,4136771,4440762,5371157,9.47E-06
76,3904,4721,5147,6590,584,612,684,826,3674500,4031000,4340500,4957167,0.16,0.18,0.19,0.18,382,460,488,523,4705532,5109601,5279394,5774745,9.48E-06
77,3778,4294,5126,5851,560,686,721,876,3185000,3545167,3852500,4575333,0.18,0.18,0.2,0.19,347,383,471,530,,,,6209538,9.88E-06
78,4021,4518,5370,6257,679,682,796,923,3480000,3538000,4042667,4629833,0.2,0.19,0.19,0.19,401,431,495,565,,,,6319136,9.50E-06
79,3707,4326,4981,5987,611,757,781,939,4100333,4362333,4798167,5255333,0.17,0.16,0.19,0.19,439,441,473,541,5297129,5640059,5802755,6318262,8.60E-06
80,4954,5363,6459,7707,649,738,756,877,3298500,3802833,4068000,4658333,0.21,0.24,0.21,0.21,396,475,450,579,4741528,4820695,5121875,6163244,9.58E-06
81,4290,4942,5598,6846,613,659,668,803,3795500,4184667,4166000,5109167,0.17,0.18,0.17,0.19,407,443,467,566,4830416,5279915,5517865,5989062,9.36E-06
82,3828,4534,5135,5910,614,675,770,880,3358833,3753667,4346500,4380000,0.18,0.19,0.21,0.18,379,411,460,546,,,,6158798,9.78E-06
83,3798,4339,4995,5401,657,683,805,872,3562833,3603000,3871667,4458667,0.16,0.16,0.18,0.2,362,421,501,556,,,,6104756,9.67E-06
84,3833,4321,5290,6168,591,655,690,929,4226667,5028000,4842500,5218167,0.17,0.21,0.17,0.19,447,480,478,565,4931902,5375780,5370134,5938766,8.58E-06
85,4673,5462,6167,7053,630,671,716,847,3112000,3303500,3703667,4523833,0.18,0.21,0.21,0.2,363,427,438,547,4232178,4585588,4764796,5840684,9.50E-06
86,3912,4610,5342,5973,611,730,736,747,3765667,4083333,4369167,4912167,0.17,0.18,0.16,0.18,450,448,474,487,4782053,5202897,5414028,5809154,9.59E-06
